OBJECTID;FID_UFS_AMZLEG_LLWGS84;SPRAREA;SPRPERIMET;SPRROTULO;SPRNOME;MSLINK;MAPID;CODIGO;AREA_1;PERIMETRO_;GEOCODIGO;NOME;AREA_TOT_G;objeid_88;Area;FID_pontos_ameacadas_atualizado_portaria_443_2014;codigocncf;id;preccncflo;POINT_X;POINT_Y;familia;nome_cient;autor;categoria
1;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;5585;212372;112500;centroide de municipio;-53,482832;-17,94593;BIGNONIACEAE;Anemopaegma arvense;(Vell.) Stellfeld ex de Souza;EN
3;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;28418;3047215;1346;centroide de municipio;-53,482832;-17,94593;SIMAROUBACEAE;Simaba glabra;Engl.;VU
7;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;3514;1466043;36545; ;-53,22;-17,31;LAMIACEAE;Hyptis hamatidens;Epling & JÃ¡tiva;VU
9;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;12314;1004731;30134;centroide de municipio;-53,58102;-16,960186;LAMIACEAE;Hyptis frondosa;S.Moore;VU
11;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;12924;1013863;26310;centroide de municipio;-53,58102;-16,960186;ALSTROEMERIACEAE;Alstroemeria brasiliensis;Spreng.;EN
12;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;30355;3338227;91453;centroide de municipio;-53,58102;-16,960186;LYCOPODIACEAE;Pseudolycopodiella benjaminiana;(P.G.Wndisch) B.Ã˜llg.;EN
14;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;20133;1927921;30876;centroide de municipio;-56,21085;-16,863836;MELIACEAE;Trichilia stellato-tomentosa;Kuntze;VU
15;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;16256;3339889;30474;centroide de municipio;-56,954156;-16,668585;MALPIGHIACEAE;Heteropterys marginata;W.R.Anderson;EN
16;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;21004;1294165;7066;10 a 50km;-56,84487;-16,65993;CONVOLVULACEAE;Ipomoea subrevoluta;Choisy;VU
17;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;2184;142208;9990;centroide de municipio;-57,916058;-16,600886;MELIACEAE;Cedrela fissilis;Vell.;VU
18;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;12294;3339904;102464;centroide de municipio;-57,916058;-16,600886;MALPIGHIACEAE;Stigmaphyllon mattogrossense;C.E.Anderson;CR
19;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;21021;758654;13851;centroide de municipio;-57,916058;-16,600886;RUBIACEAE;Carapichea ipecacuanha;(Brot.) L.Andersson;VU
26;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;4747;3077063;25267; ;-53,7256;-16,2125;ASTERACEAE;Strophopappus bicolor;DC.;EN
28;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;19097;490487;22796;centroide de municipio;-59,50507;-16,137517;FABACEAE;Apuleia leiocarpa;(Vogel) J.F.Macbr.;VU
38;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;27596;1537546;32757; ;-55,4;-15,9;SAPINDACEAE;Talisia subalbens;(Mart.) Radlk.;VU
39;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;23745;1451466;27239; ;-52,26;-15,89;ASTERACEAE;Lessingianthus zuccarinianus;(Mart. ex DC.) H.Rob.;VU
42;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;18912;3330667;105078;centroide de municipio;-55,105296;-15,88182;ASTERACEAE;Aldama vernonioides;(Baker) E.E.Schill. & Panero;EN
47;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;27182;3337546;90664; ;-52,33;-15,75;ANEMIACEAE;Anemia trichorhiza;Gardner;VU
51;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;6964;1780979;38966; ;-56,083333;-15,583333;RUBIACEAE;Mitracarpus eritrichoides;Standl.;EN
69;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;12989;1037179;30293;centroide de municipio;-55,88193;-15,485744;LYTHRACEAE;Cuphea cuiabensis;Koehne;EN
