FID;FID_Buffer;FID_fire_n;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;FID_UFS_AM;SPRAREA;SPRPERIMET;SPRROTULO;SPRNOME;MSLINK;MAPID;CODIGO;AREA_1;PERIMETRO_;GEOCODIGO;NOME;AREA_TOT_G;objeid_88;BUFF_DIST;ORIG_FID;FID_buff_1;FID_buff_2;Id;FID_pontos;codigocncf;id_1;preccncflo;POINT_X;POINT_Y;familia;nome_cient;autor;categoria
0;290;41575;-15,288;-55,809;331,8;2;1,4;16/08/2019;1750;Aqua;MODIS;81;6.0NRT;303;54;D;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;892;26;0;0;12309;765692;30134;0,5 a 5km;-55,804167;-15,290278;LAMIACEAE;Hyptis frondosa;S.Moore;VU
1;293;41573;-15,286;-55,817;353,1;2;1,4;16/08/2019;1750;Aqua;MODIS;96;6.0NRT;303,5;161;D;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;900;26;0;0;12309;765692;30134;0,5 a 5km;-55,804167;-15,290278;LAMIACEAE;Hyptis frondosa;S.Moore;VU
2;564;8648;-14,627;-57,471;333;2,7;1,6;08/08/2019;1700;Aqua;MODIS;82;6.0NRT;309,6;85,4;D;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;1532;31;0;0;21056;1193953;13851; ;-57,48;-14,62;RUBIACEAE;Carapichea ipecacuanha;(Brot.) L.Andersson;VU
3;2339;4953;-11,631;-46,658;335;2,3;1,5;06/08/2019;1715;Aqua;MODIS;84;6.0NRT;307,5;84,5;D;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;1,6;6048;50;0;0;13007;1204856;30358; ;-46,66;-11,64;LYTHRACEAE;Diplusodon gracilis;Koehne;CR
4;3626;62674;-10,497;-68,09;349;1,3;1,1;23/08/2019;1800;Aqua;MODIS;95;6.0NRT;299,9;80,7;D;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;1,6;9356;89;0;0;16406;1335026;22780; ;-68,1;-10,5;FABACEAE;Amburana acreana;(Ducke) A.C.Sm.;VU
5;4231;29442;-10,19;-61,99;312,1;1,3;1,1;14/08/2019;550;Aqua;MODIS;84;6.0NRT;293,3;13,4;N;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;1,6;10928;116;0;0;19776;1196936;22796; ;-62;-10,18;FABACEAE;Apuleia leiocarpa;(Vogel) J.F.Macbr.;VU
6;4236;29443;-10,188;-62,001;314,5;1,3;1,1;14/08/2019;550;Aqua;MODIS;89;6.0NRT;293,4;16,1;N;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;1,6;10942;116;0;0;19776;1196936;22796; ;-62;-10,18;FABACEAE;Apuleia leiocarpa;(Vogel) J.F.Macbr.;VU
7;4241;28379;-10,187;-62,01;317,6;1;1;14/08/2019;245;Terra;MODIS;95;6.0NRT;284,1;14,8;N;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;1,6;10950;116;0;0;19776;1196936;22796; ;-62;-10,18;FABACEAE;Apuleia leiocarpa;(Vogel) J.F.Macbr.;VU
8;4244;28380;-10,186;-62;352,4;1;1;14/08/2019;245;Terra;MODIS;100;6.0NRT;292,9;69,2;N;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;1,6;10958;116;0;0;19776;1196936;22796; ;-62;-10,18;FABACEAE;Apuleia leiocarpa;(Vogel) J.F.Macbr.;VU
9;4263;29450;-10,178;-62;321,3;1,3;1,1;14/08/2019;550;Aqua;MODIS;100;6.0NRT;293,9;25,1;N;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;1,6;11004;116;0;0;19776;1196936;22796; ;-62;-10,18;FABACEAE;Apuleia leiocarpa;(Vogel) J.F.Macbr.;VU
10;4269;28378;-10,176;-62,002;345,7;1;1;14/08/2019;245;Terra;MODIS;100;6.0NRT;291,3;54,4;N;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;1,6;11013;116;0;0;19776;1196936;22796; ;-62;-10,18;FABACEAE;Apuleia leiocarpa;(Vogel) J.F.Macbr.;VU
11;4290;29455;-10,168;-61,998;333,6;1,3;1,1;14/08/2019;550;Aqua;MODIS;100;6.0NRT;294,4;46,3;N;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;1,6;11067;116;0;0;19776;1196936;22796; ;-62;-10,18;FABACEAE;Apuleia leiocarpa;(Vogel) J.F.Macbr.;VU
12;4675;7906;-9,969;-48,326;313,4;1;1;08/08/2019;445;Aqua;MODIS;87;6.0NRT;295,5;11,7;N;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;1,6;12043;161;0;0;19622;2870148;22796; ;-48,3172;-9,9686;FABACEAE;Apuleia leiocarpa;(Vogel) J.F.Macbr.;VU
13;8855;36789;-9,177;-61,421;352,5;3,4;1,7;15/08/2019;1710;Aqua;MODIS;96;6.0NRT;298,8;374,5;D;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;21842;184;0;0;13881;1236064;22000; ;-61,42;-9,17;ARACEAE;Heteropsis flexuosa;(Kunth) G.S.Bunting;VU
14;8920;32821;-9,171;-61,419;331,5;1,7;1,3;14/08/2019;1805;Aqua;MODIS;83;6.0NRT;302;50;D;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;21963;184;0;0;13881;1236064;22000; ;-61,42;-9,17;ARACEAE;Heteropsis flexuosa;(Kunth) G.S.Bunting;VU
15;8935;32831;-9,169;-61,412;362,8;1,7;1,3;14/08/2019;1805;Aqua;MODIS;100;6.0NRT;304,1;191;D;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;21999;184;0;0;13881;1236064;22000; ;-61,42;-9,17;ARACEAE;Heteropsis flexuosa;(Kunth) G.S.Bunting;VU
16;8954;63311;-9,167;-61,432;348,3;1,3;1,1;23/08/2019;1800;Aqua;MODIS;94;6.0NRT;305;69,3;D;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;22042;184;0;0;13881;1236064;22000; ;-61,42;-9,17;ARACEAE;Heteropsis flexuosa;(Kunth) G.S.Bunting;VU
17;8965;37541;-9,166;-61,429;346,4;3,4;1,7;15/08/2019;1710;Aqua;MODIS;93;6.0NRT;299,4;292,2;D;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;22060;184;0;0;13881;1236064;22000; ;-61,42;-9,17;ARACEAE;Heteropsis flexuosa;(Kunth) G.S.Bunting;VU
18;9018;32814;-9,16;-61,421;373,4;1,7;1,3;14/08/2019;1805;Aqua;MODIS;100;6.0NRT;307,2;261,5;D;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;22174;184;0;0;13881;1236064;22000; ;-61,42;-9,17;ARACEAE;Heteropsis flexuosa;(Kunth) G.S.Bunting;VU
19;9052;60773;-9,157;-61,425;355,5;1;1;23/08/2019;240;Terra;MODIS;100;6.0NRT;297,1;72,9;N;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;22236;184;0;0;13881;1236064;22000; ;-61,42;-9,17;ARACEAE;Heteropsis flexuosa;(Kunth) G.S.Bunting;VU
