"nome_cient" "categoria"
"Licania conferruminata" "CR"
"Licania indurata" "EN"
"Hypolytrum paraense" "EN"
"Rinorea longistipulata" "EN"
"Piper barretoi" "EN"
"Ipomoea carajasensis" "VU"
"Cedrela fissilis" "VU"
"Cedrela odorata" "VU"
"Hyptis arenaria" "VU"
"Cariniana ianeirensis" "EN"
"Hyptis hamatidens" "VU"
"Cariniana legalis" "EN"
"Eschweilera subcordata" "EN"
"Strophopappus bicolor" "EN"
"Manilkara dardanoi" "VU"
"Anemopaegma arvense" "EN"
"Fridericia crassa" "VU"
"Pleonotoma bracteata" "VU"
"Digomphia densicoma" "VU"
"Sinningia defoliata" "VU"
"Mitracarpus eritrichoides" "EN"
"Jacaranda carajasensis" "CR"
"Jacaranda egleri" "CR"
"Axonopus fastigiatus" "VU"
"Pouteria furcata" "EN"
"Pradosia granulosa" "VU"
"Micropholis splendens" "EN"
"Dicypellium caryophyllaceum" "CR"
"Pouteria decussata" "EN"
"Pouteria multiflora" "VU"
"Pouteria petiolata" "VU"
"Pouteria vernicosa" "VU"
"Pouteria virescens" "EN"
"Pradosia subverticillata" "VU"
"Pradosia verticillata" "EN"
"Sarcaulus vestitus" "VU"
"Sphaerorrhiza burchellii" "EN"
"Goyazia petraea" "EN"
"Rinorea villosiflora" "CR"
"Cissus apendiculata" "EN"
"Cycnoches pentadactylum" "EN"
"Angelonia alternifolia" "CR"
"Hypenia micrantha" "EN"
"Stigmaphyllon mattogrossense" "CR"
"Hyptis frondosa" "VU"
"Mourera weddelliana" "VU"
"Janusia occhionii" "EN"
"Alstroemeria brasiliensis" "EN"
"Cuphea cuiabensis" "EN"
"Diplusodon gracilis" "CR"
"Zeyheria tuberculosa" "VU"
"Hyptidendron conspersum" "EN"
"Heteropsis flexuosa" "VU"
"Schefflera sprucei" "VU"
"Aniba rosaeodora" "EN"
"Schinopsis balansae" "EN"
"Aniba santalodora" "VU"
"Peltogyne maranhensis" "VU"
"Sagittaria lancifolia" "VU"
"Byrsonima lanulosa" "EN"
"Centrosema carajasense" "VU"
"Protium giganteum var. crassifolium" "VU"
"Protium inodorum" "EN"
"Hymenolobium excelsum" "VU"
"Heteropterys marginata" "EN"
"Rinorea bicornuta" "CR"
"Dacryodes edilsonii" "EN"
"Amburana acreana" "VU"
"Peixotoa psilophylla" "VU"
"Lessingianthus adenophyllus" "EN"
"Monogereion carajensis" "CR"
"Bursera simaruba" "VU"
"Ipomoea cavalcantei" "EN"
"Erythroxylum nelson-rosae" "EN"
"Albizia glabripetala" "EN"
"Oxypetalum ekblomii" "EN"
"Centrolobium paraense" "EN"
"Aldama vernonioides" "EN"
"Apuleia leiocarpa" "VU"
"Trichilia stellato-tomentosa" "VU"
"Macrosamanea prancei" "VU"
"Rhodostemonodaphne recurva" "EN"
"Mimosa skinneri var. carajarum" "CR"
"Ipomoea subrevoluta" "VU"
"Carapichea ipecacuanha" "VU"
"Echinocoryne echinocephala" "EN"
"Streblacanthus dubiosus" "EN"
"Hymenaea parvifolia" "VU"
"Cattleya walkeriana" "VU"
"Cyrtopodium caiapoense" "VU"
"Aiouea benthamiana" "EN"
"Mezilaurus itauba" "VU"
"Lessingianthus venosissimus" "EN"
"Lessingianthus zuccarinianus" "VU"
"Nectandra grisea" "VU"
"Vouacapoua americana" "EN"
"Bertholletia excelsa" "VU"
"Aiouea lehmannii" "EN"
"Aniba ferrea" "VU"
"Altoparadisium chapadense" "CR"
"Rhodostemonodaphne parvifolia" "CR"
"Digitaria neesiana" "EN"
"Sporobolus apiculatus" "EN"
"Trichilia micropetala" "EN"
"Iryanthera campinae" "VU"
"Swietenia macrophylla" "VU"
"Virola parvifolia" "VU"
"Axonopus carajasensis" "EN"
"Trichilia blanchetii" "VU"
"Euxylophora paraensis" "CR"
"Qualea coerulea" "VU"
"Nycticalanthus speciosus" "CR"
"Pilocarpus alatus" "VU"
"Anemia trichorhiza" "VU"
"Pilocarpus microphyllus" "EN"
"Pilocarpus trachylophus" "EN"
"Talisia subalbens" "VU"
"Bromelia braunii" "CR"
"Virola surinamensis" "VU"
"Simaba glabra" "VU"
"Simaba warmingiana" "EN"
"Tabernaemontana cumata" "EN"
"Ocotea tabacifolia" "EN"
"Couepia joaquinae" "CR"
"Phlegmariurus taxifolius" "EN"
"Pseudolycopodiella benjaminiana" "EN"
