"nome_cient"
"Aiouea lehmannii"
"Aldama vernonioides"
"Altoparadisium chapadense"
"Amburana acreana"
"Anemia trichorhiza"
"Anemopaegma arvense"
"Angelonia alternifolia"
"Apuleia leiocarpa"
"Axonopus fastigiatus"
"Bertholletia excelsa"
"Bromelia braunii"
"Byrsonima lanulosa"
"Carapichea ipecacuanha"
"Cariniana ianeirensis"
"Cattleya walkeriana"
"Cedrela fissilis"
"Cedrela odorata"
"Cissus apendiculata"
"Cuphea cuiabensis"
"Dacryodes edilsonii"
"Diplusodon gracilis"
"Echinocoryne echinocephala"
"Erythroxylum nelson-rosae"
"Eschweilera subcordata"
"Euxylophora paraensis"
"Fridericia crassa"
"Goyazia petraea"
"Heteropsis flexuosa"
"Hymenaea parvifolia"
"Hymenolobium excelsum"
"Hypenia micrantha"
"Hypolytrum paraense"
"Hyptidendron conspersum"
"Hyptis arenaria"
"Hyptis frondosa"
"Hyptis hamatidens"
"Ipomoea cavalcantei"
"Jacaranda egleri"
"Lessingianthus adenophyllus"
"Licania indurata"
"Manilkara dardanoi"
"Mezilaurus itauba"
"Mitracarpus eritrichoides"
"Mourera weddelliana"
"Nectandra grisea"
"Ocotea tabacifolia"
"Oxypetalum ekblomii"
"Peixotoa psilophylla"
"Pilocarpus alatus"
"Pilocarpus microphyllus"
"Pilocarpus trachylophus"
"Piper barretoi"
"Pleonotoma bracteata"
"Pouteria furcata"
"Pouteria multiflora"
"Pouteria petiolata"
"Pseudolycopodiella benjaminiana"
"Rhodostemonodaphne recurva"
"Rinorea bicornuta"
"Rinorea longistipulata"
"Sarcaulus vestitus"
"Simaba glabra"
"Sinningia defoliata"
"Sphaerorrhiza burchellii"
"Streblacanthus dubiosus"
"Swietenia macrophylla"
"Talisia subalbens"
"Trichilia micropetala"
"Virola surinamensis"
"Vouacapoua americana"
"Zeyheria tuberculosa"
