"nome_cient","buffer","Freq","total","categoria","prop"
"Apuleia leiocarpa","1",3,116,"VU",0.0258620689655172
"Apuleia leiocarpa","7",51,116,"VU",0.439655172413793
"Apuleia leiocarpa","2",3,116,"VU",0.0258620689655172
"Apuleia leiocarpa","3",6,116,"VU",0.0517241379310345
"Apuleia leiocarpa","8",59,116,"VU",0.508620689655172
"Apuleia leiocarpa","5",19,116,"VU",0.163793103448276
"Apuleia leiocarpa","6",33,116,"VU",0.28448275862069
"Apuleia leiocarpa","4",7,116,"VU",0.0603448275862069
"Heteropsis flexuosa","8",14,54,"VU",0.259259259259259
"Heteropsis flexuosa","2",1,54,"VU",0.0185185185185185
"Heteropsis flexuosa","1",1,54,"VU",0.0185185185185185
"Heteropsis flexuosa","4",1,54,"VU",0.0185185185185185
"Heteropsis flexuosa","5",2,54,"VU",0.037037037037037
"Heteropsis flexuosa","7",9,54,"VU",0.166666666666667
"Heteropsis flexuosa","3",1,54,"VU",0.0185185185185185
"Heteropsis flexuosa","6",5,54,"VU",0.0925925925925926
"Hyptis frondosa","4",1,8,"VU",0.125
"Hyptis frondosa","7",4,8,"VU",0.5
"Hyptis frondosa","3",1,8,"VU",0.125
"Hyptis frondosa","6",4,8,"VU",0.5
"Hyptis frondosa","2",1,8,"VU",0.125
"Hyptis frondosa","5",3,8,"VU",0.375
"Hyptis frondosa","1",1,8,"VU",0.125
"Hyptis frondosa","8",4,8,"VU",0.5
"Pleonotoma bracteata","7",3,14,"VU",0.214285714285714
"Pleonotoma bracteata","8",3,14,"VU",0.214285714285714
"Pleonotoma bracteata","1",1,14,"VU",0.0714285714285714
"Pleonotoma bracteata","5",1,14,"VU",0.0714285714285714
"Pleonotoma bracteata","2",1,14,"VU",0.0714285714285714
"Pleonotoma bracteata","3",1,14,"VU",0.0714285714285714
"Pleonotoma bracteata","4",1,14,"VU",0.0714285714285714
"Pleonotoma bracteata","6",1,14,"VU",0.0714285714285714
"Zeyheria tuberculosa","5",1,5,"VU",0.2
"Zeyheria tuberculosa","1",1,5,"VU",0.2
"Zeyheria tuberculosa","8",2,5,"VU",0.4
"Zeyheria tuberculosa","4",1,5,"VU",0.2
"Zeyheria tuberculosa","3",1,5,"VU",0.2
"Zeyheria tuberculosa","7",2,5,"VU",0.4
"Zeyheria tuberculosa","2",1,5,"VU",0.2
"Zeyheria tuberculosa","6",2,5,"VU",0.4
"Amburana acreana","7",5,15,"VU",0.333333333333333
"Amburana acreana","3",1,15,"VU",0.0666666666666667
"Amburana acreana","4",1,15,"VU",0.0666666666666667
"Amburana acreana","2",1,15,"VU",0.0666666666666667
"Amburana acreana","6",3,15,"VU",0.2
"Amburana acreana","5",2,15,"VU",0.133333333333333
"Amburana acreana","8",5,15,"VU",0.333333333333333
"Carapichea ipecacuanha","4",3,21,"VU",0.142857142857143
"Carapichea ipecacuanha","7",6,21,"VU",0.285714285714286
"Carapichea ipecacuanha","2",1,21,"VU",0.0476190476190476
"Carapichea ipecacuanha","8",6,21,"VU",0.285714285714286
"Carapichea ipecacuanha","6",6,21,"VU",0.285714285714286
"Carapichea ipecacuanha","3",3,21,"VU",0.142857142857143
"Carapichea ipecacuanha","5",5,21,"VU",0.238095238095238
"Diplusodon gracilis","2",1,1,"CR",1
"Diplusodon gracilis","5",1,1,"CR",1
"Diplusodon gracilis","6",1,1,"CR",1
"Diplusodon gracilis","7",1,1,"CR",1
"Diplusodon gracilis","3",1,1,"CR",1
"Diplusodon gracilis","8",1,1,"CR",1
"Diplusodon gracilis","4",1,1,"CR",1
"Jacaranda egleri","8",2,2,"CR",1
"Jacaranda egleri","6",2,2,"CR",1
"Jacaranda egleri","5",2,2,"CR",1
"Jacaranda egleri","3",1,2,"CR",0.5
"Jacaranda egleri","2",1,2,"CR",0.5
"Jacaranda egleri","4",1,2,"CR",0.5
"Jacaranda egleri","7",2,2,"CR",1
"Rinorea longistipulata","5",3,8,"EN",0.375
"Rinorea longistipulata","3",3,8,"EN",0.375
"Rinorea longistipulata","7",4,8,"EN",0.5
"Rinorea longistipulata","4",3,8,"EN",0.375
"Rinorea longistipulata","2",3,8,"EN",0.375
"Rinorea longistipulata","6",4,8,"EN",0.5
"Rinorea longistipulata","8",6,8,"EN",0.75
"Bertholletia excelsa","3",2,115,"VU",0.0173913043478261
"Bertholletia excelsa","7",29,115,"VU",0.252173913043478
"Bertholletia excelsa","6",22,115,"VU",0.191304347826087
"Bertholletia excelsa","4",3,115,"VU",0.0260869565217391
"Bertholletia excelsa","5",14,115,"VU",0.121739130434783
"Bertholletia excelsa","8",32,115,"VU",0.278260869565217
"Virola surinamensis","4",9,149,"VU",0.0604026845637584
"Virola surinamensis","3",3,149,"VU",0.0201342281879195
"Virola surinamensis","6",13,149,"VU",0.087248322147651
"Virola surinamensis","5",11,149,"VU",0.0738255033557047
"Virola surinamensis","8",26,149,"VU",0.174496644295302
"Virola surinamensis","7",18,149,"VU",0.120805369127517
"Anemopaegma arvense","8",39,66,"EN",0.590909090909091
"Anemopaegma arvense","4",2,66,"EN",0.0303030303030303
